XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 503
The number of interface that is DOWN in Physical is 80
The number of interface that is UP in Protocol is 498
The number of interface that is DOWN in Protocol is 85
Interface                         IP Address/Mask      Physical   Protocol VPN 
Eth-Trunk22.4004                  10.11.71.3/27        up         up       l3vpn
Eth-Trunk22.4005                  10.11.70.3/24        up         up       l3vpn
Eth-Trunk24.40                    10.195.20.3/24       up         up       l3vpn
Eth-Trunk24.200                   10.120.16.29/30      up         up       l3vpn
Eth-Trunk24.300                   unassigned           *down      down     --  
Eth-Trunk24.1300                  10.120.16.153/30     up         up       l3vpn
Eth-Trunk24.1400                  10.120.16.1/30       up         up       l3vpn
Eth-Trunk24.1800                  10.120.17.6/30       up         up       l3vpn
Eth-Trunk24.1801                  10.193.20.54/30      up         up       l3vpn
Eth-Trunk24.2731                  10.11.99.3/27        up         up       l3vpn
Eth-Trunk24.2732                  10.11.98.3/24        up         up       l3vpn
Eth-Trunk24.2740                  10.11.104.3/27       up         up       l3vpn
Eth-Trunk24.2741                  10.11.105.3/24       up         up       l3vpn
Eth-Trunk24.2742                  10.11.99.35/28       up         up       l3vpn
Eth-Trunk24.3661                  10.120.16.17/30      up         up       l3vpn
Eth-Trunk24.4007                  10.120.16.33/30      up         up       l3vpn
Eth-Trunk24.4008                  10.193.16.38/30      up         up       l3vpn
Eth-Trunk24.4009                  10.120.16.166/30     up         up       l3vpn
Eth-Trunk45                       10.195.16.105/29     up         up       --  
Eth-Trunk49                       10.195.18.29/30      up         up       --  
Eth-Trunk49.4011                  10.197.0.14/30       up         up       l3vpn
Eth-Trunk49.4012                  41.242.192.38/30     up         up       l3vpn
Eth-Trunk55                       10.195.16.117/30     up         up       --  
Eth-Trunk61                       unassigned           up         down     --  
Eth-Trunk61.616                   10.10.14.166/30      up         up       l3vpn
Eth-Trunk61.618                   10.10.14.178/30      up         up       l3vpn
Eth-Trunk61.620                   10.10.14.190/30      up         up       l3vpn
Eth-Trunk61.622                   10.10.14.198/30      up         up       l3vpn
Eth-Trunk61.624                   10.10.14.201/30      up         up       l3vpn
Eth-Trunk61.626                   10.10.14.206/30      up         up       l3vpn
Eth-Trunk61.633                   10.10.14.222/30      up         up       l3vpn
Eth-Trunk61.634                   10.10.14.246/30      up         up       l3vpn
Eth-Trunk61.635                   10.10.14.226/30      up         up       l3vpn
Eth-Trunk61.636                   10.10.14.250/30      up         up       l3vpn
Eth-Trunk61.637                   10.10.14.230/30      up         up       l3vpn
Eth-Trunk61.638                   10.10.14.254/30      up         up       l3vpn
Eth-Trunk100                      unassigned           up         down     --  
Eth-Trunk100.41                   10.1.24.102/30       up         up       l3vpn
Eth-Trunk100.42                   10.1.24.106/30       up         up       l3vpn
Eth-Trunk100.43                   10.1.24.110/30       up         up       l3vpn
Eth-Trunk100.44                   10.1.24.114/30       up         up       l3vpn
Eth-Trunk100.45                   10.1.24.118/30       up         up       l3vpn
Eth-Trunk100.46                   10.1.24.122/30       up         up       l3vpn
Eth-Trunk100.47                   41.73.34.214/30      up         up       l3vpn
Eth-Trunk100.48                   10.1.24.130/30       up         up       l3vpn
Eth-Trunk100.49                   10.1.24.134/30       up         up       l3vpn
Eth-Trunk100.51                   10.1.24.138/30       up         up       l3vpn
